GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
7160.38202115.expressed_protein	0.477	-0.909	0.83	0.0027	*
7167.38202262.RWD_domain_containing_protein__expressed	-0.119	0.238	0.38	0.71	*
7168.38202303.pelota__putative__expressed	-0.639	0.614	0.077	0.97	*
7169.38202334.eukaryotic_translation_initiation_factor_4B__putative__expressed	0.186	-0.349	0.67	0.21	*
717.38088067.expressed_protein	-0.214	-0.502	0.36	0.12	*
7170.38202341.	0.11	0.635	0.58	0.87	*
7175.38202398.	0.258	-0.302	0.7	0.31	*
7179.38202526.expressed_protein	-0.35	0.251	0.21	0.69	*
718.38088225.polyphenol_oxidase_protein__putative__expressed	-0.229	0.313	0.28	0.81	*
7180.38202549.tetratricopeptide_repeat_domain_containing_protein__expressed	-0.176	0.0146	0.31	0.52	*
7183.38202564.nucleolar_protein_Nop52_containing_protein__expressed	-0.339	-0.638	0.24	0.095	*
7184.38202571.cyanate_hydratase__putative__expressed	0.165	-0.0512	0.65	0.45	*
7185.38202573.Bestrophin_like_protein	-0.171	-0.816	0.34	0.0034	*
7188.38202618.	0.209	-0.215	0.64	0.36	*
7193.38202704.phytoene_dehydrogenase_like__putative__expressed	-0.433	0.397	0.13	0.82	*
7196.38202791.expressed_protein	-0.642	-0.504	0.032	0.084	*
7201.38202871.sec34_like_family_protein	-0.0353	-0.837	0.48	0.026	*
7202.38202882.	0.061	-0.147	0.55	0.41	*
7203.38202895.expressed_protein	-0.33	-0.25	0.14	0.24	*
721.38088251.expressed_protein	0.14	-0.627	0.65	0.042	*
7210.38202962.phosphosulfolactate_synthase_related_protein__putative__expressed	-0.66	-0.2	0.02	0.25	*
7219.38203194.expressed_protein	0.0504	-0.934	0.54	0.0012	*
7222.38203235.expressed_protein	0.168	-0.0777	0.64	0.45	*
7228.38203359.Rubber_elongation_factor_protein__REF_	0.291	0.443	0.71	0.76	*
7229.38203374.Plant_thionin_family_protein	0.0498	0.0918	0.55	0.56	*
723.38088142.	0.809	-0.572	1	0.066	*
7231.38203415.low_molecular_weight_cysteine_rich_28	-0.106	-0.575	0.44	0.18	*
7232.38203486.low_molecular_weight_cysteine_rich_28	-0.0835	0.383	0.44	0.71	*
7236.38203536.	0.112	-0.425	0.58	0.25	*
7238.38203637.DNA_binding_family_protein	0.0426	0.49	0.55	0.8	*
7239.38203685.DNA_binding_family_protein	-0.108	-0.537	0.39	0.048	*
724.38088283.ER_lumen_protein_retaining_receptor_family_protein	0.143	0.533	0.6	0.9	*
7240.38203690.DNA_binding_family_protein	-0.385	-0.0773	0.24	0.45	*
7245.38203801.hydrolase__NUDIX_family__domain_containing_protein__expressed	-0.555	-0.193	0.056	0.27	*
7249.38203824.expressed_protein	0.329	0.0632	0.77	0.55	*
7253.38203840.adenylosuccinate_lyase__putative__expressed	-0.482	0.413	0.094	0.91	*
7255.38203856.mis12_protein__expressed	-0.235	0.12	0.29	0.63	*
7259.38203940.Pentatricopeptide_repeat__PPR__superfamily_protein	0.31	-0.342	0.79	0.18	*
726.38088173.	0.307	-0.353	0.72	0.28	*
7261.38203954.fatty_acid_hydroxylase__putative__expressed	0.0299	0.305	0.51	0.71	*
7262.38203956.	-0.339	-0.538	0.19	0.072	*
7265.38204014.DNA_directed_RNA_polymerases	0.467	0.0452	0.79	0.52	*
7266.38204043.AP2_domain_containing_protein__expressed	0.237	-0.129	0.74	0.36	*
7271.38204129.MYB_family_transcription_factor__putative__expressed	-0.358	0.42	0.18	0.85	*
7276.38204228.D_Tyr_tRNA_Tyr__deacylase_family_protein	-0.183	0.305	0.35	0.77	*
7278.38204316.expressed_protein	0.197	-0.0312	0.66	0.47	*
728.38088338.autoinhibited_H_+__ATPase_isoform_10	-0.71	0.189	0.0082	0.73	*
7283.38204403.phosphoribosylaminoimidazole_carboxylase__chloroplast_precursor__putative__expressed	-0.0652	-0.751	0.43	0.0045	*
7287.38204433.protein_binding_protein__putative__expressed	-0.69	-0.581	0.038	0.081	*
7289.38204459.guanyl_nucleotide_exchange_factors_GTPase_binding_GTP_binding	-0.0843	-0.221	0.4	0.25	*
729.38088225.polyphenol_oxidase_protein__putative__expressed	-0.192	0.277	0.31	0.78	*
7291.38204467.	-0.465	-0.451	0.11	0.17	*
7294.38204492.expressed_protein	0.159	-0.446	0.64	0.14	*
7296.38204556.	-0.414	0.356	0.21	0.73	*
7298.38204580.cysteine_proteinase_inhibitor_precursor__putative__expressed	-0.685	0.429	0.084	0.78	*
73.38076695.	0.26	-0.0235	0.77	0.48	*
7301.38204669.phosphatidylinositolglycan_related__putative__expressed	-0.141	0.416	0.38	0.76	*
7304.38204742.zinc_finger_family_protein__putative__expressed	-0.44	0.32	0.14	0.81	*
7306.38204751.	-0.772	-0.763	0.0077	0.016	*
7313.38204826.reductase__putative__expressed	-0.326	-0.449	0.28	0.22	*
732.38088251.expressed_protein	0.0742	-0.597	0.58	0.068	*
732.38088382.	0.106	0.366	0.6	0.74	*
7320.38204971.Ribosomal_RNA_processing_Brix_domain_protein	-0.521	0.354	0.033	0.86	*
7321.38204983.Protein_kinase_superfamily_protein	0.165	-0.62	0.66	0.028	*
7323.38205055.	-0.391	0.582	0.23	0.83	*
7324.38205074.ATPases_nucleotide_binding_ATP_binding_nucleoside_triphosphatases_transcription_factor_binding	-0.35	0.474	0.18	0.91	*
7325.38205077.ATPases_nucleotide_binding_ATP_binding_nucleoside_triphosphatases_transcription_factor_binding	0.145	0.0579	0.62	0.53	*
733.38088408.uridine_kinase_like_5	-0.21	-0.216	0.3	0.27	*
7335.38205202.expressed_protein	0.12	0.151	0.59	0.59	*
7338.38205268.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.016	0.0296	0.52	0.53	*
7349.38205440.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.307	-0.897	0.71	0.0042	*
735.38088283.ER_lumen_protein_retaining_receptor_family_protein	0.0915	0.515	0.56	0.9	*
7350.38205501.	-0.264	0.447	0.31	0.8	*
7355.38205605.	-0.233	0.0133	0.31	0.51	*
7357.38205669.	-0.101	-0.075	0.42	0.45	*
736.38088429.N_acetylglucosaminyl_transferase_component__putative__expressed	-0.192	0.642	0.32	0.96	*
7363.38205789.ThiF_family_domain_containing_protein__putative__expressed	-0.166	-0.568	0.34	0.043	*
737.38088448.N_acetylglucosaminyl_transferase_component__putative__expressed	-0.00763	-0.0239	0.5	0.49	*
7371.38205915.	0.12	-0.367	0.59	0.27	*
7372.38205930.	0.278	-0.0976	0.72	0.44	*
7373.38205936.acyl_CoA_binding_protein__putative__expressed	-0.732	-0.713	0.069	0.076	*
7376.38206063.tRNA_methyltransferase__putative__expressed	0.0567	-0.311	0.56	0.16	*
7378.38206108.	0.0253	-0.0601	0.52	0.46	*
7380.38206131.expressed_protein	-0.147	-0.848	0.39	0.014	*
7382.38206186.PPR_repeat_domain_containing_protein__putative__expressed	-0.148	-0.44	0.31	0.04	*
7386.38206257.CemA_like_proton_extrusion_protein_related	-0.6	-0.532	0.074	0.092	*
7388.38206321.C2H2_and_C2HC_zinc_fingers_superfamily_protein	-0.273	0.457	0.3	0.82	*
739.38088338.autoinhibited_H_+__ATPase_isoform_10	-0.719	0.193	0.0041	0.73	*
7392.38206400.expressed_protein	-0.701	-0.688	0.023	0.025	*
7394.38206419.uncharacterized_protein__YigZ_family__putative__expressed	-0.139	0.408	0.38	0.84	*
7398.38206510.expressed_protein	-0.0687	-0.237	0.44	0.36	*
74.38076695.	0.262	-0.0235	0.77	0.49	*
7403.38206571.purin_rich_alpha_1	-0.387	0.308	0.21	0.73	*
7409.38206664.Protein_of_unknown_function__DUF167_	0.08	-0.276	0.55	0.31	*
7417.38206752.expressed_protein	0.314	-0.284	0.8	0.26	*
7422.38206846.WW_domain_containing_protein	0.0867	0.197	0.61	0.66	*
7427.38206914.ATP_binding	0.657	0.402	0.95	0.79	*
743.38088382.	0.0911	0.473	0.59	0.81	*
7433.38207017.plant_specific_domain_TIGR01589_family_protein__expressed	-0.0467	0.25	0.45	0.77	*
7435.38207042.expressed_protein	0.473	-0.787	0.79	0.046	*
744.38088408.uridine_kinase_like_5	-0.235	-0.224	0.27	0.26	*
7443.38207157.maturase_K	-0.0172	0.0162	0.48	0.5	*
7444.38207176.expressed_protein	-0.0348	0.621	0.48	0.9	*
7445.38207203.Major_facilitator_superfamily_protein	-0.00307	-0.276	0.5	0.32	*
7447.38207252.elongation_factor_Tu__putative__expressed	-0.754	0.433	0.0054	0.91	*
7462.38207659.UDP_glucoronosyl_and_UDP_glucosyl_transferase_domain_containing_protein__expressed	-0.348	-0.63	0.24	0.018	*
7466.38207688.Transcription_elongation_factor__TFIIS__family_protein	0.392	0.0704	0.8	0.55	*
747.38088429.N_acetylglucosaminyl_transferase_component__putative__expressed	-0.212	0.571	0.29	0.93	*
7470.38207764.Single_stranded_nucleic_acid_binding_R3H_protein	-nan	-nan	0.48	0.44	*
7471.38207773.COP9_signalosome__subunit_CSN8	-0.357	0.37	0.26	0.73	*
7478.38207887.aldehyde_dehydrogenase_22A1	-0.522	-0.269	0.095	0.28	*
7479.38207905.Protein_of_unknown_function__DUF1682_	-0.817	0.529	0.0012	0.96	*
748.38088448.N_acetylglucosaminyl_transferase_component__putative__expressed	0.0605	-0.0527	0.57	0.45	*
7486.38208029.mutS_domain_V_family_protein__expressed	-0.0774	0.274	0.43	0.78	*
749.38088671.Pseudouridine_synthase_family_protein	0.0132	-0.589	0.5	0.064	*
7505.38208413.vacuolar_ATP_synthase_subunit_d__putative__expressed	-0.291	0.227	0.21	0.74	*
7508.38208471.FRIGIDA_like_protein	-0.453	0.575	0.15	0.89	*
751.38088697.Methyltransferase_small_domain_containing_protein__expressed	-0.047	-0.0485	0.45	0.45	*
7510.38208537.Aldolase_type_TIM_barrel_family_protein	0.0404	0.0318	0.54	0.53	*
7517.38208656.	0.298	-0.162	0.72	0.4	*
7521.38208696.expressed_protein	-0.222	0.168	0.3	0.65	*
7527.38208761.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	-0.456	-0.598	0.18	0.11	*
7529.38208778.FUR1__putative__expressed	-0.399	0.286	0.25	0.69	*
753.38088738.methionine_aminopeptidase_1D	-0.0832	0.00039	0.44	0.5	*
7530.38208790.expressed_protein	-0.251	-0.232	0.23	0.31	*
7533.38208823.lipase__putative__expressed	-0.613	-0.474	0.033	0.1	*
7535.38208871.expressed_protein	-0.561	-0.057	0.052	0.44	*
754.38088749.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.984	0.936	0	1	*
7541.38209007.expressed_protein	-0.313	-0.598	0.17	0.048	*
7543.38209049.expressed_protein	-0.323	-0.0404	0.25	0.48	*
7549.38209194.	-0.339	-0.449	0.24	0.22	*
755.38088751.zinc_finger__C3HC4_type_domain_containing_protein__expressed	0.0296	0.638	0.52	0.97	*
7552.38209291.mannosyltransferase_family_protein	-0.0204	-0.82	0.49	0.015	*
7554.38209411.receptor_kinase__putative__expressed	0.563	0.215	0.96	0.74	*
7555.38209413.EMB1688__putative__expressed	-0.398	-0.271	0.13	0.19	*
7557.38209429.guanylyl_cyclase_1	-0.426	-0.881	0.2	0.0051	*
756.38088770.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.159	0.0138	0.35	0.51	*
7561.38209472.ARM_repeat_superfamily_protein	-0.225	-0.311	0.31	0.28	*
7563.38209485.delta14_sterol_reductase__putative__expressed	-0.299	-0.414	0.25	0.25	*
7568.38209584.methyl_CpG_binding_domain_containing_protein__expressed	0.368	0.448	0.76	0.8	*
757.38088790.zinc_finger__C3HC4_type_domain_containing_protein__expressed	0.0567	-0.241	0.54	0.35	*
7570.38209617.vacuolar_iron_transporter__VIT__family_protein	0.159	-0.56	0.61	0.15	*
7571.38209629.vacuolar_iron_transporter__VIT__family_protein	0.241	0.212	0.7	0.63	*
7580.38209828.	0.0302	0.261	0.52	0.71	*
7584.38209904.expressed_protein	-0.171	-0.315	0.35	0.28	*
7588.38210057.	0.244	-0.0884	0.7	0.44	*
7592.38210191.protein_binding_protein__putative__expressed	0.534	0.628	0.87	0.91	*
7597.38210235.clathrin_adaptor_complexes_medium_subunit_family_protein	-0.172	-0.62	0.33	0.074	*
7598.38210338.	-0.341	0.0187	0.25	0.51	*
760.38088671.Pseudouridine_synthase_family_protein	0.0284	-0.574	0.51	0.074	*
760.38088821.	0.106	-0.327	0.59	0.21	*
7601.38210363.Homeodomain_like_transcriptional_regulator	-0.145	-0.795	0.39	0.037	*
7602.38210368.microtubule_associated_protein__putative__expressed	-0.339	-0.0629	0.22	0.46	*
7603.38210386.double_stranded_RNA_binding_motif_containing_protein__expressed	-0.215	0.0142	0.3	0.51	*
7606.38210403.	0.332	0.0973	0.74	0.6	*
7607.38210404.ethylene_receptor__putative__expressed	-0.144	-0.375	0.33	0.15	*
7609.38210459.expressed_protein	-0.237	-0.583	0.28	0.052	*
761.38088841.expressed_protein	0.0309	-0.245	0.54	0.25	*
7614.38210563.zinc_ion_binding_nucleic_acid_binding_hydrolases__acting_on_acid_anhydrides__in_phosphorus_containing_anhydrides	-0.298	-0.232	0.17	0.26	*
7617.38210689.	0.0588	0.664	0.54	0.91	*
7619.38210721.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.314	0.117	0.088	0.65	*
762.38088697.Methyltransferase_small_domain_containing_protein__expressed	-0.0506	-0.0767	0.45	0.42	*
7620.38210730.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.519	-0.283	0.063	0.24	*
7622.38210735.Protein_of_unknown_function__DUF3049_	-0.461	-0.424	0.093	0.092	*
7623.38210737.transcription_initiation_factor_IIB__putative__expressed	0.579	-0.851	0.89	0.013	*
7625.38210775.DNA_primases_DNA_primases	0.0121	-0.494	0.48	0.13	*
7632.38210844.PETER_PAN_like_protein	-0.0554	-0.0647	0.43	0.44	*
7633.38210861.BRCA2_like_B	0.286	-0.293	0.77	0.27	*
7635.38210906.exosome_complex_exonuclease__putative__expressed	-0.281	0.0282	0.28	0.54	*
764.38088738.methionine_aminopeptidase_1D	-0.0613	0.0843	0.46	0.55	*
764.38088877.Pre_rRNA_processing_protein_TSR2__conserved_region	0.299	-0.355	0.72	0.28	*
7642.38210964.pre_rRNA_processing_protein_TSR2__putative__expressed	-0.267	-0.354	0.31	0.28	*
7643.38210995.DUF581_domain_containing_protein__expressed	0.143	-0.397	0.62	0.2	*
7645.38211084.uricase__putative__expressed	-0.496	-0.0563	0.099	0.45	*
7649.38211103.expressed_protein	-0.232	0.227	0.35	0.65	*
765.38088749.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.936	0.888	0.00031	1	*
7651.38211141.formin_homology_1	0.193	0.473	0.66	0.87	*
766.38088751.zinc_finger__C3HC4_type_domain_containing_protein__expressed	0.0299	0.622	0.52	0.96	*
766.38088890.mTERF_domain_containing_protein__expressed	-0.529	0.0756	0.012	0.65	*
7662.38211379.Proteasome_component__PCI__domain_protein	-0.375	-0.202	0.15	0.29	*
7665.38211468.acyl_protein_thioesterase__putative__expressed	-0.442	-0.603	0.19	0.098	*
7667.38211557.expressed_protein	-0.157	0.211	0.34	0.68	*
767.38088770.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.175	0.0446	0.34	0.53	*
767.38088907.mTERF_domain_containing_protein__expressed	-0.0173	0.313	0.48	0.71	*
7670.38211575.BRCA1_C_Terminus_domain_containing_protein__expressed	-0.142	-0.664	0.37	0.059	*
7671.38211591.	0.852	-0.76	0.99	0.03	*
7676.38211653.AT_hook_protein_of_GA_feedback_2	-0.274	-0.411	0.27	0.19	*
7677.38211695.expressed_protein	0.171	-0.632	0.66	0.076	*
768.38088790.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-nan	-nan	0.55	0.37	*
7680.38211769.expressed_protein	-0.829	0.608	0.011	0.95	*
7682.38211786.mitochondrial_import_inner_membrane_translocase_subunit_Tim17__putative__expressed	-0.00637	0.302	0.51	0.78	*
7684.38211798.peptidyl_prolyl_cis_trans_isomerase__FKBP_type__putative__expressed	0.371	-0.634	0.78	0.12	*
7688.38211843.calmodulin_binding_protein__putative__expressed	-0.51	-0.286	0.04	0.23	*
7690.38211906.expressed_protein	-0.03	0.239	0.46	0.75	*
7692.38211939.	-0.489	-0.0779	0.12	0.42	*
7698.38211999.expressed_protein	0.745	-0.694	0.96	0.066	*
77.38076782.basal_transcription_factor_complex_subunit_related	-0.771	0.562	0.015	0.94	*
7700.38212040.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.265	-0.25	0.27	0.28	*
7703.38212094.pentatricopeptide__PPR__repeat_containing_protein	-0.479	0.599	0.15	0.89	*
7705.38212123.DCD__Development_and_Cell_Death__domain_protein	0.324	0.0999	0.74	0.56	*
771.38088821.	0.0443	-0.106	0.54	0.4	*
7717.38212259.expressed_protein	-0.0427	0.309	0.46	0.71	*
772.38088841.expressed_protein	0.035	-0.24	0.54	0.25	*
7720.38212283.	-0.331	0.252	0.27	0.68	*
7726.38212412.ribosomal_protein_L22__putative__expressed	-0.439	-0.839	0.17	0.0013	*
7727.38212425.ribosomal_protein_L22__putative__expressed	-0.612	-0.864	0.1	0.0041	*
7732.38212511.tetratricopeptide_like_helical__putative__expressed	-0.123	0.043	0.42	0.54	*
7735.38212531.	0.195	0.316	0.67	0.77	*
7737.38212571.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.183	-0.0204	0.37	0.48	*
7740.38212638.PAP_fibrillin_family_domain_containing_protein__expressed	0.0831	-0.29	0.58	0.32	*
7741.38212672.	-nan	-nan	0.59	0.3	*
7743.38212733.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.347	-0.00217	0.86	0.52	*
775.38088877.Pre_rRNA_processing_protein_TSR2__conserved_region	0.326	-0.377	0.74	0.26	*
7752.38212899.HIT_type_Zinc_finger_family_protein	-0.291	-0.0781	0.25	0.45	*
7754.38212929.histone_deacetylase_2	0.753	-0.0945	0.98	0.45	*
7756.38212939.Peptidase_family_M48_family_protein	-0.52	-0.202	0.072	0.3	*
7758.38212954.X0001__putative__expressed	-0.0973	-0.233	0.39	0.34	*
7761.38213054.	0.857	-0.444	0.99	0.17	*
777.38088890.mTERF_domain_containing_protein__expressed	-0.547	0.0847	0.014	0.65	*
777.38089060.phosphoribulokinase	-0.164	0.294	0.34	0.74	*
7771.38213105.Chlorophyll_A_B_binding_family_protein	0.136	0.325	0.61	0.75	*
778.38088907.mTERF_domain_containing_protein__expressed	0.188	0.157	0.66	0.59	*
7783.38213296.expressed_protein	-0.18	-0.00721	0.35	0.49	*
7785.38213308.expressed_protein	-0.0328	0.271	0.47	0.84	*
7790.38213382.vacuolar_protein_sorting_11	0.178	-0.543	0.65	0.093	*
7791.38213385.vacuolar_protein_sorting_11	-0.185	-0.208	0.36	0.37	*
78.38076782.basal_transcription_factor_complex_subunit_related	-0.756	0.543	0.016	0.95	*
7802.38213628.Pseudouridine_synthase_family_protein	0.122	-0.133	0.61	0.41	*
7803.38213726.	0.236	-0.221	0.66	0.35	*
7805.38213746.calpain__putative__expressed	-0.215	-0.231	0.25	0.21	*
7806.38213760.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.42	-0.33	0.18	0.29	*
7808.38213794.expressed_protein	-0.109	-0.0833	0.4	0.45	*
7809.38213815.pentatricopeptide__putative__expressed	-0.557	-0.525	0.043	0.08	*
7822.38214065.expressed_protein	-0.71	-0.843	0.071	0.0046	*
7823.38214088.expressed_protein	-0.727	0.0854	0.023	0.59	*
7824.38214090.beta_galactosidase_17	-0.441	-0.728	0.13	0.0085	*
7829.38214173.pentatricopeptide__putative__expressed	-0.351	-0.098	0.14	0.42	*
783.38089130.Thioredoxin_superfamily_protein	-0.0789	-0.822	0.44	0.024	*
7830.38214178.RNA_recognition_motif_containing_protein__putative__expressed	0.144	0.192	0.6	0.64	*
7832.38214273.	-0.363	0.526	0.22	0.84	*
7836.38214356.	0.293	-0.208	0.71	0.37	*
7840.38214417.cyclin_J18_like__putative__expressed	-0.687	-0.267	0.06	0.3	*
7845.38214486.SWIM_zinc_finger_family_protein__expressed	-0.688	-0.229	0.0092	0.27	*
7846.38214487.expressed_protein	-0.0145	0.193	0.49	0.62	*
7847.38214500.expressed_protein	-0.474	-0.0614	0.12	0.44	*
7849.38214511.	-0.0457	-0.625	0.46	0.14	*
7856.38214615.Uncharacterized_ACR__COG1565_containing_protein__putative__expressed	-0.489	-0.198	0.09	0.32	*
7864.38214790.tetratricopeptide_repeat_containing_protein__putative__expressed	0.193	-0.792	0.65	0.02	*
7874.38214940.glucosyltransferase__putative__expressed	-0.0447	0.0341	0.46	0.52	*
7875.38214965.Ankyrin_repeat_family_protein	-0.275	-0.479	0.23	0.13	*
788.38089060.phosphoribulokinase	-0.159	0.255	0.34	0.71	*
788.38089201.glycosyltransferase_family_protein_2	-0.152	0.231	0.36	0.71	*
7883.38215242.C2H2_type_zinc_finger_family_protein	-0.214	0.364	0.37	0.74	*
7886.38215275.	0.136	-0.237	0.63	0.35	*
7889.38215332.	0.238	-0.333	0.66	0.3	*
7895.38215488.UDP_Glycosyltransferase_superfamily_protein	0.0901	-0.766	0.57	0.054	*
7897.38215500.SNARE_like_superfamily_protein	0.26	0.0436	0.73	0.55	*
79.38076868.galacturonosyltransferase_1	-0.0152	0.584	0.49	0.93	*
7902.38215549.PAP_fibrillin_family_domain_containing_protein__expressed	-0.0533	-0.143	0.46	0.37	*
7906.38215603.expressed_protein	0.103	-0.196	0.59	0.38	*
7908.38215648.Protein_of_unknown_function__DUF1712_	-0.39	0.487	0.22	0.8	*
7913.38215726.expressed_protein	-0.185	0.594	0.35	0.89	*
7922.38215875.DWD__DDB1_binding_WD40_protein__hypersensitive_to_ABA_1	-0.367	0.0299	0.19	0.53	*
7924.38215935.Uncharacterised_conserved_protein__UCP030210_	-0.189	0.254	0.32	0.77	*
7926.38215984.VQ_motif_containing_protein	-0.306	-0.528	0.29	0.14	*
7930.38216039.uracil_dna_glycosylase	0.2	-0.12	0.66	0.43	*
7932.38216048.	0.0296	0.132	0.52	0.66	*
7939.38216216.	0.438	-0.238	0.8	0.27	*
794.38089130.Thioredoxin_superfamily_protein	-0.12	-0.817	0.41	0.028	*
794.38089304.EDM2__putative__expressed	-0.0184	-0.253	0.48	0.35	*
7941.38216243.Membrane_trafficking_VPS53_family_protein	-0.56	0.722	0.13	0.92	*
7947.38216387.Cation_efflux_family_protein	0.734	-0.629	0.99	0.034	*
795.38089315.	-0.295	0.131	0.28	0.58	*
7952.38216467.RNI_like_superfamily_protein	-0.694	-0.379	0.012	0.15	*
7953.38216497.Pentatricopeptide_repeat__PPR__superfamily_protein	-0.47	-0.492	0.068	0.09	*
7956.38216569.UDP_Glycosyltransferase_superfamily_protein	0.109	-0.394	0.58	0.22	*
7958.38216606.hydrolase__NUDIX_family__domain_containing_protein__expressed	0.0616	-0.564	0.54	0.16	*
7959.38216618.	0.00319	0.247	0.49	0.66	*
7962.38216663.downstream_target_of_AGL15_4	-0.416	0.24	0.093	0.75	*
7966.38216839.cold_acclimation_protein_WCOR413__putative__expressed	0.519	0.605	0.88	0.94	*
7970.38216924.CSLC1___cellulose_synthase_like_family_C__expressed	-0.224	-0.709	0.29	0.048	*
7985.38217262.auxin_induced_protein_5NG4__putative__expressed	-0.35	0.417	0.22	0.77	*
799.38089201.glycosyltransferase_family_protein_2	-0.143	0.2	0.37	0.68	*
7991.38217400.lipoate_protein_ligase__putative__expressed	-0.161	-0.927	0.39	0.0034	*
7995.38217425.integral_membrane_protein__putative__expressed	-0.0691	0.424	0.42	0.81	*
7996.38217432.	0.351	0.113	0.77	0.57	*
8.38075575.membrane_associated_DUF588_domain_containing_protein__putative__expressed	-0.0125	-0.426	0.49	0.23	*
80.38076868.galacturonosyltransferase_1	0.102	0.685	0.6	0.96	*
8002.38217518.neurofilament_protein_related	0.092	0.33	0.59	0.73	*
8005.38217552.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.163	0.481	0.36	0.8	*
8006.38217572.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	0.328	-0.74	0.83	0.011	*
801.38089394.expressed_protein	-0.48	-0.231	0.072	0.33	*
8011.38217630.expressed_protein	-0.495	-0.861	0.17	0.013	*
8013.38217686.expressed_protein	-0.548	-0.0503	0.082	0.45	*
8015.38217715.Disease_resistance_protein__TIR_NBS_LRR_class__family	-0.553	0.569	0.12	0.96	*
8017.38217771.expressed_protein	-nan	-nan	0.28	0.42	*
8018.38217777.photosystem_I_assembly_protein_ycf4__putative__expressed	0.428	-0.00857	0.84	0.49	*
802.38089403.expressed_protein	0.0539	-0.797	0.53	0.024	*
8020.38217811.receptor_like_protein_kinase_1	-0.0419	0.193	0.47	0.67	*
8021.38217854.	-0.311	0.042	0.27	0.54	*
8022.38217868.	0.132	0.0323	0.61	0.52	*
8023.38217895.	-0.0877	-0.0669	0.42	0.45	*
8026.38217928.PPR_repeat_domain_containing_protein__putative__expressed	-0.517	-0.973	0.19	0	*
8027.38217946.fb27__putative__expressed	-0.337	0.575	0.18	0.96	*
8028.38217967.expressed_protein	0.493	-0.0158	0.85	0.49	*
803.38089479.	-0.401	-0.063	0.094	0.44	*
8030.38217978.polygalacturonase__putative__expressed	-0.393	-0.165	0.15	0.35	*
8042.38218170.RNA_methyltransferase__TrmH_family_protein__putative__expressed	0.154	-0.944	0.6	0.00037	*
8043.38218242.expressed_protein	-0.0699	0.338	0.42	0.73	*
8047.38218270.Aldolase_type_TIM_barrel_family_protein	-0.445	-0.243	0.21	0.35	*
805.38089304.EDM2__putative__expressed	-0.073	-0.295	0.44	0.32	*
8050.38218344.FAD_linked_oxidases_family_protein	-0.448	-0.384	0.15	0.23	*
8055.38218453.WRKY11__expressed	-0.124	-0.481	0.41	0.22	*
8056.38218485.heat_shock_protein_DnaJ__putative__expressed	-0.491	-0.0543	0.07	0.43	*
8059.38218512.O_acyltransferase__putative__expressed	-0.258	0.0593	0.25	0.55	*
806.38089315.	-0.281	0.146	0.29	0.59	*
806.38089518.expressed_protein	0.491	-0.206	0.93	0.32	*
8061.38218570.expressed_protein	0.417	0.0338	0.77	0.52	*
8063.38218591.expressed_protein	0.0966	-0.306	0.57	0.32	*
8064.38218603.signal_recognition_particle_receptor_protein__chloroplast__FTSY_	-0.405	0.203	0.13	0.72	*
8066.38218644.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.38	-0.74	0.13	0.0061	*
8067.38218665.	-0.448	0.449	0.19	0.82	*
8070.38218684.Zinc_binding_ribosomal_protein_family_protein	0.173	-0.377	0.68	0.12	*
8077.38218857.OBP3_responsive_gene_4	0.259	-0.457	0.67	0.19	*
8079.38218873.Domain_of_unknown_function__DUF220_	0.218	0.297	0.66	0.72	*
808.38089552.DNA_binding_protein_related__putative__expressed	-0.0292	0.2	0.47	0.61	*
8082.38218902.rRNA_processing_protein_related	0.0951	-0.865	0.59	0.0086	*
8083.38218921.rRNA_processing_protein_related	-0.644	0.245	0.026	0.79	*
8085.38218947.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	-0.421	-0.273	0.18	0.32	*
8087.38218955.	0.115	0.865	0.57	0.99	*
809.38089563.	0.0422	-0.542	0.53	0.11	*
8090.38218986.Protein_phosphatase_2C_family_protein	0.115	0.0546	0.63	0.54	*
8094.38219051.expressed_protein	-nan	-nan	0.44	0.49	*
8098.38219134.	0.0999	-0.266	0.57	0.31	*
810.38089584.expressed_protein	-0.478	-0.803	0.14	0.0037	*
8107.38219296.formate_dehydrogenase	-0.558	-0.191	0.017	0.28	*
